# This is for paper [ICME 2025] Variance-Reduction Guidance: Sampling Trajectory Optimization for Diffusion Models
# dataset: LSUN Bedroom
# pre-trained model: https://github.com/pesser/pytorch_diffusion?tab=readme-ov-file
# pre-trained model: https://heibox.uni-heidelberg.de/d/01207c3f6b8441779abf/?p=%2Fdiffusion_models_converted%2Fema_diffusion_cifar10_model&mode=list
# pre-trained model: ema-cifar10-model-790000.ckpt
#
# ts : timestep
# MSE: mean squared error between predicted noise and ground-truth noise
#      The MSE value below is the average of all dimensions.
#
# ts  	alpha_bar	MSE
 304	0.386826	0.02352415
 305	0.384445	0.02338542
 306	0.382071	0.02327965
 307	0.379704	0.02315304
 308	0.377344	0.02308024
 309	0.374991	0.02299216
 310	0.372645	0.02280281
 311	0.370307	0.02273791
 312	0.367976	0.02249395
 313	0.365652	0.02249359
 314	0.363335	0.02240908
 315	0.361027	0.02228329
 316	0.358725	0.02214373
 317	0.356431	0.02200065
 318	0.354145	0.02184681
 319	0.351866	0.02178878
 320	0.349595	0.02170045
 321	0.347331	0.02155624
 322	0.345076	0.02148967
 323	0.342828	0.02136393
 324	0.340588	0.02121078
 325	0.338356	0.02116381
 326	0.336131	0.02099466
 327	0.333915	0.02091215
 328	0.331706	0.02081891
 329	0.329506	0.02070735
 330	0.327314	0.02059880
 331	0.325129	0.02045744
 332	0.322953	0.02041824
 333	0.320785	0.02023285
 334	0.318625	0.02014958
 335	0.316473	0.02003748
 336	0.314329	0.01991607
 337	0.312194	0.01986949
 338	0.310067	0.01980220
 339	0.307949	0.01969204
 340	0.305838	0.01955023
 341	0.303736	0.01944338
 342	0.301643	0.01936849
 343	0.299558	0.01924612
 344	0.297481	0.01916761
 345	0.295413	0.01901677
 346	0.293353	0.01895467
 347	0.291302	0.01887344
 348	0.289259	0.01870388
 349	0.287225	0.01865529
 350	0.285200	0.01849867
 351	0.283183	0.01840495
 352	0.281174	0.01832175
 353	0.279175	0.01827065
 354	0.277184	0.01814147
 355	0.275201	0.01804983
 356	0.273228	0.01792483
 357	0.271263	0.01787976
 358	0.269307	0.01774710
 359	0.267359	0.01767366
 360	0.265420	0.01761993
 361	0.263490	0.01749656
 362	0.261569	0.01741061
 363	0.259657	0.01729075
 364	0.257754	0.01718100
 365	0.255859	0.01708334
 366	0.253973	0.01700560
 367	0.252096	0.01696329
 368	0.250228	0.01683040
 369	0.248368	0.01670160
 370	0.246518	0.01663855
 371	0.244676	0.01656195
 372	0.242844	0.01648207
 373	0.241020	0.01639343
 374	0.239205	0.01630653
 375	0.237399	0.01621896
